"Name","Title","Description","Version","m.Date","m.Time","Author","Citation"
"methods_RLumCarlo","methods_RLumCarlo","Summarize RLumCarlo modelling results for easy plotting","0.1.0
",NA,NA,"Johannes Friedrich, University of Bayreuth (Germany),<br /> Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS-Université Bordeaux Montaigne (France)<br />",NA
"plot_RLumCarlo","Plot RLumCarlo Monte-Carlo Simulations Results","Visualise 'RLumCarlo' modelling results without extracting the values manually. Typically visualised values are the averaged signal or the number of remaining electrons with a polygon indicating modelling uncertainties.","0.1.0
",NA,NA,"Johannes Friedrich, University of Bayreuth (Germany), Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060,<br /> Université Bordeaux Montaigne (France)<br />",NA
"run_MC_CW_IRSL_LOC","Monte-Carlo Simulation for CW-IRSL for Localized Transition","Runs a Monte-Carlo (MC) simulation of constant-wave infrared stimulated luminesence (CW-IRSL) using the generalized one trap (GOT) model. Localized refers to an excited state that is shared by the electron and the recombination centre, so that the conduction band is not involved in the recombination process.","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />",NA
"run_MC_CW_IRSL_TUN","Run Monte-Carlo Simulation for CW-IRSL for Tunneling Transition","Runs a Monte-Carlo (MC) simulation of constant wave infrared stimulated luminesence (CW-IRSL) using the model for tunneling transiation. Tunneling refers to the direct movement of electrons from the excited state of a trap directly to the recombination center.","0.2.0
",NA,NA,"Johannes Friedrich, University of Bayreuth (Germany),<br /> Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, Université Bordeaux Montaigne (France)<br />",NA
"run_MC_CW_OSL_DELOC","Run Monte-Carlo simulation for CW-OSL for delocalized transition","Runs a Monte-Carlo (MC) simulation of constant wave optically stimulated luminesence (CW-OSL) using the one trap one recombination center (OTOR) model. Delocalized refers to involvement of the conduction band.","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />",NA
"run_MC_ISO_DELOC","Run Monte-Carlo simulation for ISO-TL for delocalized transition","Runs a Monte-Carlo (MC) simulation of isothermally stimulated luminesence (ISO-TL or ITL) using the one trap one recombination center (OTOR) model. Delocalized refers to involvement of the conduction band.","0.0.1
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />",NA
"run_MC_ISO_LOC","Run Monte-Carlo simulation for ISO-TL for localized transition","Runs a Monte-Carlo (MC) simulation of isothermally stimulated luminesence (ISO-TL or ITL) using the genralized one trap (GOT) model. Localized refers to excitation of an electron before it recombines, but without the involvement of the conduction band.","0.0.1
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />",NA
"run_MC_ISO_TUN","Monte-Carlo Simulation for Isothermal-TL for Tunneling Transition","Runs a Monte-Carlo (MC) simulation of isothermally stimulated luminesence (ISO-TL or ITL) using the tunneling (TUN) model. Tunneling refers to the direct transition of electrons from an excited state directly into the recombination center without involving the conduction band.","0.1.0
",NA,NA,"Johannes Friedrich, University of Bayreuth (Germany),<br /> Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />",NA
"run_MC_LM_OSL_DELOC","Run Monte-Carlo simulation for LM-OSL for delocalized transition","Runs a Monte-Carlo (MC) simulation of linearly modulated optically stimulated luminesence (LM-OSL) using the one trap one recombination center (OTOR) model. Delocalized refers to involvement of the conduction band.","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />",NA
"run_MC_LM_OSL_LOC","Run Monte-Carlo simulation for LM-OSL for localized transition","Runs a Monte-Carlo (MC) simulation of linearly modulated optically stimulated luminesence (LM-OSL) using the generalized one trap (GOT) model. Localized refers to excitation of an electron before it recombines, but without the involvement of the conduction band.","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />",NA
